State,mmtco2e_2023,mmtco2e_2011,n_facilities,pct_change
TX,379.8492510883798,407.3326472083584,855,-6.747162622081788
LA,144.31845512248879,144.63327310530002,401,-0.21766636130956674
FL,108.91023013245444,140.540793973866,175,-22.506322148210824
IN,107.90385047280225,164.90516183602097,186,-34.56611711154312
PA,102.73319414132281,152.755933062518,281,-32.746838645358885
OH,99.80041143100001,149.4535227998116,255,-33.223112067636166
CA,90.4834536121253,103.31845977286184,366,-12.422761807476974
AL,72.03031152216799,111.17068413407999,166,-35.20745861805244
IL,71.3550706934,136.6285989491521,217,-47.77442552861454
MI,67.545273506,94.32610812705283,208,-28.39175192617966
KY,65.082784771,121.79998725849059,134,-46.56585256213718
WV,64.558942914675,91.06831152877321,113,-29.109322627248364
MO,59.52679086860001,94.81495055406327,105,-37.21792763615062
GA,54.79199061490879,87.02201812734899,168,-37.03663533207701
WY,50.05446465805911,64.62993465999999,64,-22.552196715992906
OK,48.00908443149012,72.051676703425,161,-33.36853959817982
NC,44.271080088987,71.359643517975,124,-37.96062044811726
IA,43.5920237918576,59.734215384222004,152,-27.02335920633545
AZ,41.985085759513005,59.78470136171601,89,-29.772860274921843
MS,41.636843559905444,35.841866195775005,112,16.168179783042504
WI,39.35462771951832,55.458554301499,128,-29.037768446743307
CO,37.798968158522,54.317175181527006,116,-30.410651820168223
AR,37.76510563125313,46.25013941984,95,-18.345963698753813
TN,37.26503130575821,56.167662040481,120,-33.65393902473516
NY,36.37945059693061,47.026440069290295,201,-22.640432609128105
SC,35.136884955000006,48.20447542299999,93,-27.108666474078035
VA,34.67111857755064,45.62976393643319,129,-24.01644105402132
ND,34.49305564619019,37.13733673625,64,-7.120276579980778
MN,34.4637106780626,47.22132434496142,127,-27.01663675017212
KS,32.434383772,48.637772084875,105,-33.31441309564796
UT,28.2760698126694,42.80473342909829,65,-33.94172198384123
NE,25.626497191999995,33.44633737515,73,-23.38025863770662
WA,24.24587053592084,20.619721890500003,98,17.58582712549334
NM,20.88913680952509,40.825014882020994,84,-48.83250656517336
NJ,19.352129058,25.400944465000002,81,-23.81334841834198
MT,18.007480977999997,21.888874444000002,28,-17.732266115053445
NV,15.595273103122,17.961527721249997,40,-13.174016458124097
MD,14.414739994,30.848873797,53,-53.273043000351585
AK,14.212704844,18.789803038000002,59,-24.359479366246685
OR,13.7345686294543,10.522537880905398,55,30.52524766271049
PR,13.729981914000001,19.43206720845,23,-29.34368862192108
CT,10.889445311000003,8.832952020373,36,23.282061148795428
MA,8.812173096699004,18.133200520873,63,-51.40310125311098
HI,6.706243411999999,9.794504218450003,27,-31.53054751492798
SD,6.299962495999999,5.455760416000001,39,15.47359150017334
DE,5.794098904000001,6.776025262999999,19,-14.491185036775716
ID,5.668302316486,3.437363842599999,36,64.90259908588943
RI,4.117038999999999,3.903108618,10,5.4810255859499915
ME,3.4210597136320002,5.874336295577001,29,-41.76261723034415
NH,2.392512722282,5.681177172,17,-57.88702499767771
GU,1.3048594040000001,1.318871114,9,-1.0624017655147386
VI,0.581163676,5.492411241999999,5,-89.41878802599683
